 [12.10.2017 19:27:18] Player "Serega" earned 105 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:27:24] Player "Serega" earned 3 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:48:39] Player "Serega" earned 583 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:50:19] Player "Serega" earned 546 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:50:53] Player "Serega" earned 203 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:52:27] Player "Serega" earned 595 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:53:3] Player "Serega" earned 270 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 19:55:40] Player "Serega" earned 642 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:11:34] Player "Serega" earned 24 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:12:0] Player "Serega" earned 186 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:21:41] Player "asd" earned 17 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:23:36] Player "asd" earned 653 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:24:19] Player "asd" earned 91 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:25:12] Player "asd" earned 296 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:26:17] Player "asd" earned 95 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:26:34] Player "asd" earned 45 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:27:27] Player "asd" earned 31 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:27:40] Player "asd" earned 51 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:56:29] Player "mitel4950" earned 134 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:57:9] Player "mitel4950" earned 288 points(W - 76, L - 45, gW - 26, S - 2)
 [12.10.2017 20:58:20] Player "mitel4950" earned 574 points(W - 76, L - 45, gW - 26, S - 2)
 [22.6.2018 17:47:6] Player "mitel4950" earned 293 points(W - 76, L - 45, gW - 26, S - 2)
